"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"Antelope Valley Line","1142","200000026","Lancaster","227","0"
"Inland Emp.-Orange Co. Line","1153","200000029","Riverside - Downtown","814","1"
"Inland Emp.-Orange Co. Line","1153","200000030","Oceanside","815","0"
"Ventura County Line","1141","200000121","Moorpark","121","0"
"Antelope Valley Line","1142","200000213","Lancaster","213","0"
"Antelope Valley Line","1142","200000218","L.A. Union Station","218","1"
"Antelope Valley Line","1142","200000221","Lancaster","221","0"
"Antelope Valley Line","1142","200000222","L.A. Union Station","222","1"
"Antelope Valley Line","1142","200000229","Lancaster","229","0"
"Antelope Valley Line","1142","200000230","L.A. Union Station","230","1"
"Antelope Valley Line","1142","200000231","Lancaster","231","0"
"San Bernardino Line","1146","200000300","San Bernardino - Downtown","300","0"
"San Bernardino Line","1146","200000301","L.A. Union Station","301","1"
"San Bernardino Line","1146","200000306","San Bernardino - Downtown","306","0"
"San Bernardino Line","1146","200000325","L.A. Union Station","325","1"
"San Bernardino Line","1146","200000336","San Bernardino - Downtown","336","0"
"San Bernardino Line","1146","200000381","L.A. Union Station","381","1"
"San Bernardino Line","1146","200000382","Redlands - Downtown","382","0"
"Inland Emp.-Orange Co. Line","1153","200000817","Laguna Niguel / Mission Viejo","817","0"
"Ventura County Line","1141","200090106","L.A. Union Station","106","1"
"Ventura County Line","1141","200090123","Ventura - East","123","0"
"Antelope Valley Line","1142","200090205","Via Princessa","205","0"
"Antelope Valley Line","1142","200090206","L.A. Union Station","206","1"
"Antelope Valley Line","1142","200090210","L.A. Union Station","210","1"
"Antelope Valley Line","1142","200090219","Via Princessa","219","0"
"Antelope Valley Line","1142","200090224","L.A. Union Station","224","1"
"Antelope Valley Line","1142","200090225","Lancaster","225","0"
"San Bernardino Line","1146","200090308","San Bernardino - Downtown","308","0"
"San Bernardino Line","1146","200090329","L.A. Union Station","329","1"
"San Bernardino Line","1146","200090337","L.A. Union Station","337","1"
"San Bernardino Line","1146","200090338","San Bernardino - Downtown","338","0"
"San Bernardino Line","1146","200090339","L.A. Union Station","339","1"
"San Bernardino Line","1146","200090340","San Bernardino - Downtown","340","0"
"Riverside Line","1149","200090402","Riverside - Downtown","402","0"
"Riverside Line","1149","200090404","Riverside - Downtown","404","0"
"Riverside Line","1149","200090405","L.A. Union Station","405","1"
"Riverside Line","1149","200090411","L.A. Union Station","411","1"
"Orange County Line","1151","200090682","Laguna Niguel / Mission Viejo","682","0"
"Orange County Line","1151","200090687","L.A. Union Station","687","1"
"91 Line","1150","200090702","Perris - South","702","0"
"91 Line","1150","200090709","L.A. Union Station","709","1"
"San Bernardino Line","1146","233003800","Redlands - University","3800","0"
"San Bernardino Line","1146","233003801","San Bernardino - Downtown","3801","1"
"San Bernardino Line","1146","233003802","Redlands - University","3802","0"
"San Bernardino Line","1146","233003803","San Bernardino - Downtown","3803","1"
"San Bernardino Line","1146","233003804","Redlands - University","3804","0"
"San Bernardino Line","1146","233003805","San Bernardino - Downtown","3805","1"
"San Bernardino Line","1146","233003806","Redlands - University","3806","0"
"San Bernardino Line","1146","233003807","San Bernardino - Downtown","3807","1"
"San Bernardino Line","1146","233003808","Redlands - University","3808","0"
"San Bernardino Line","1146","233003809","San Bernardino - Downtown","3809","1"
"San Bernardino Line","1146","233003810","Redlands - University","3810","0"
"San Bernardino Line","1146","233003811","Redlands - University","3811","1"
"San Bernardino Line","1146","233003812","San Bernardino - Downtown","3812","0"
"San Bernardino Line","1146","233003813","San Bernardino - Downtown","3813","1"
"San Bernardino Line","1146","233003814","Redlands - University","3814","0"
"San Bernardino Line","1146","233003815","San Bernardino - Downtown","3815","1"
"San Bernardino Line","1146","233003816","Redlands - University","3816","0"
"San Bernardino Line","1146","233003817","Redlands - Esri","3817","1"
"San Bernardino Line","1146","233003818","Redlands - University","3818","0"
